bookmarkId,sid,name,type,mcidName,mcid,sido,sigungu,address,memo,folders,folderCount,mismatch,isMatched,created,px,py
232811629,18773190,브라운스톤로얄스위트서초,place,일반,GENERAL,서울,서초구,서울 서초구 명달로15길 5,,내 장소,1,AVAILABLE,True,2020-06-09,127.0036253,37.4847411
232810889,18767291,서초더샵아파트,place,일반,GENERAL,서울,서초구,서울 서초구 서초중앙로2길 21,,내 장소,1,AVAILABLE,True,2020-06-09,127.0183949,37.4841221
232810279,36266637,루엘드파리,place,카페,CAFE,서울,서초구,서울 서초구 서초중앙로 18,,내 장소,1,AVAILABLE,True,2020-06-09,127.0173499,37.4840594
232422517,19866762,이수사,place,음식점,DINING,경기,성남시,경기 성남시 분당구 금곡로11번길 4,,내 장소,1,AVAILABLE,True,2020-06-07,127.1104808,37.3440851
231927364,32331193,한터장수오리골,place,음식점,DINING,경기,용인시,경기 용인시 처인구 양지면 한터로662번길 39,,내 장소,1,AVAILABLE,True,2020-06-06,127.2767904,37.2577145
227776791,1957364765,운멜로,place,음식점,DINING,경기,수원시,경기 수원시 팔달구 화서문로32번길 4,,내 장소,1,AVAILABLE,True,2020-05-23,127.0114524,37.284776
223337825,1510195678,제이에이치솔라,place,일반,GENERAL,서울,용산구,서울 용산구 갈월동,,내 장소,1,AVAILABLE,True,2020-05-08,126.971714,37.5416505
213597044,1432373629,꽁티드툴레아,place,음식점,DINING,서울,강남구,서울 강남구 도산대로49길 39,,내 장소,1,AVAILABLE,True,2020-04-16,127.0369045,37.52557
206887778,13036099,이봉구피부과의원,place,생활/문화,LIFE_CULTURE,경기,성남시,경기 성남시 분당구 내정로 170,,내 장소,1,AVAILABLE,True,2020-03-26,127.1196133,37.3734045
201554214,37459886,황실전통마사지,place,생활/문화,LIFE_CULTURE,경기,성남시,경기 성남시 분당구 대왕판교로 670,,내 장소,1,AVAILABLE,True,2020-03-12,127.1060234,37.4018932
195246388,1586416290,롯데프리미엄아울렛 기흥점,place,쇼핑,SHOPPING,경기,용인시,경기 용인시 기흥구 고매동 280,,내 장소,1,AVAILABLE,True,2020-02-23,127.1213744,37.2251818
187300874,37182405,호텔 카푸치노,place,숙박,ACCOMMODATION,서울,강남구,서울 강남구 논현동 206-1,,내 장소,1,AVAILABLE,True,2020-02-03,127.0315039,37.5068952
175481198,1140239421,조양방직,place,카페,CAFE,인천,강화군,인천 강화군 강화읍 향나무길5번길 12,,내 장소,1,AVAILABLE,True,2020-01-08,126.4802701,37.7470413
167701439,12981949,지앤아트갤러리,place,생활/문화,LIFE_CULTURE,경기,용인시,경기 용인시 기흥구 백남준로 7,,내 장소,1,AVAILABLE,True,2019-12-20,127.1101077,37.2699194
158411919,1478636575,쿳사,place,음식점,DINING,서울,서대문구,서울 서대문구 증가로 48 보광빌딩 1층,,내 장소,1,AVAILABLE,True,2019-11-29,126.9294014,37.5721948
158411519,36523247,연남동잠깐,place,음식점,DINING,서울,마포구,서울 마포구 동교로32길 3,,내 장소,1,AVAILABLE,True,2019-11-29,126.9245541,37.5608684
156693353,37162579,오페뜨 서판교 운중점,place,카페,CAFE,경기,성남시,경기 성남시 분당구 운중로125번길 8,,내 장소,1,AVAILABLE,True,2019-11-25,127.0774261,37.3924659
156110805,19560902,라스 마가리타스,place,음식점,DINING,경기,용인시,경기 용인시 기흥구 죽전로15번길 15-8,,내 장소,1,AVAILABLE,True,2019-11-23,127.1097107,37.3220804
155197840,20384015,묵전,place,BAR,BAR,서울,강남구,서울 강남구 언주로168길 22,,내 장소,1,AVAILABLE,True,2019-11-21,127.035388,37.526067
154646007,35403143,소마,place,카페,CAFE,서울,종로구,서울 종로구 창의문로 155,,내 장소,1,AVAILABLE,True,2019-11-20,126.9634925,37.5936778
154172479,19873460,르헤브드베베,place,카페,CAFE,경기,용인시,경기 용인시 수지구 죽전로168번길 3-3 RED ZONE,,내 장소,1,AVAILABLE,True,2019-11-19,127.1256807,37.3261349
152995958,19978400,조기종의향미각,place,음식점,DINING,대전,대덕구,대전 대덕구 쌍청당로 14 1층,,내 장소,1,AVAILABLE,True,2019-11-17,127.4353167,36.3632801
151629663,12054078,화수목샤브샤브,place,음식점,DINING,경기,성남시,경기 성남시 분당구 황새울로 315,,내 장소,1,AVAILABLE,True,2019-11-14,127.12005,37.384961
